Source,Make,Model,price,mileage,location,listing_date,link_to_buyer
goauto,,,"$32,276","138,000 km",Go North Surrey GM,2023-11-29,https://www.goauto.ca/vehicles/zRt9VAkVhr
goauto,Hyundai,Kona Electric,"$33,997","21,500 km",Southtown Hyundai,2023-11-29,https://www.goauto.ca/vehicles/zRsR6yF8Wr
goauto,Audi,SQ5,"$43,181","73,300 km",Audi Richmond,2023-11-29,https://www.goauto.ca/vehicles/zRfDEmSFsZ
goauto,Porsche,Cayman,"$25,900","74,000 km",Go Nissan South,2023-11-29,https://www.goauto.ca/vehicles/zRckP84K7d
goauto,,,"$33,347","130,000 km",Go Nissan North,2023-11-29,https://www.goauto.ca/vehicles/zR4z5cgW6x
goauto,Toyota,RAV4 Hybrid,"$23,525","201,000 km",Go Auto Kelowna,2023-11-29,https://www.goauto.ca/vehicles/zPdJqv6Wwv
goauto,,,"$34,999","1,430 km",Go Dodge Surrey,2023-11-29,https://www.goauto.ca/vehicles/zPXa9LksTe
goauto,Audi,R8,"$128,998","63,100 km",Porsche Centre Edmonton,2023-11-29,https://www.goauto.ca/vehicles/zNgSfcT5Az
goauto,,,"$34,777","96,700 km",Peace River Chrysler,2023-11-29,https://www.goauto.ca/vehicles/zNPbDkrGUw
goauto,,,"$42,888","78,800 km",MGM Ford Lincoln Sales Ltd.,2023-11-29,https://www.goauto.ca/vehicles/zN7ERjTuWY
goauto,Land Rover,Discovery,"$49,995","41,500 km",Jaguar Land Rover Edmonton,2023-11-29,https://www.goauto.ca/vehicles/zMfvdjznKC
goauto,Kia,Stinger,"$48,388","30,200 km",Go Richmond Chrysler,2023-11-29,https://www.goauto.ca/vehicles/zM3sGWHv6j
goauto,,,"$27,897","6,590 km",Go Langley Mitsubishi,2023-11-29,https://www.goauto.ca/vehicles/zLxuP6NTcw
goauto,Ford,Escape,"$34,800","7,750 km",Aurora Ford Hay River,2023-11-29,https://www.goauto.ca/vehicles/zLVGhkEcnM
goauto,BMW,3 Series,"$24,787","136,000 km",Team Ford,2023-11-29,https://www.goauto.ca/vehicles/zJyhmU8wpw
goauto,Ford,Mustang,"$22,499","60,900 km",Dams Ford Lincoln,2023-11-29,https://www.goauto.ca/vehicles/zJFHvEC9WH
goauto,Hyundai,Santa Fe Sport,"$23,988","70,000 km",Northstar Hyundai,2023-11-29,https://www.goauto.ca/vehicles/zHcAp57ceY
goauto,,,"$32,929","144,000 km",Grove Nissan,2023-11-29,https://www.goauto.ca/vehicles/zGfJK2JFmo
goauto,Volkswagen,Golf GTI,"$26,497","69,800 km",Go Terrace Ford Lincoln,2023-11-29,https://www.goauto.ca/vehicles/zGaKjXukYH
goauto,Audi,Q7,"$17,888","147,000 km",Team Ford,2023-11-29,https://www.goauto.ca/vehicles/zEsrybua3i
goauto,Chevrolet,Trax,"$14,398","158,000 km",Go Autohaus Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/zDs2NDRrYH
goauto,,,"$38,947","124,000 km",Kentwood Ford,2023-11-29,https://www.goauto.ca/vehicles/zDgKQuRUqw
goauto,Toyota,Corolla,"$24,997","78,000 km",Langley Toyota,2023-11-29,https://www.goauto.ca/vehicles/zDcZXxDv7g
goauto,Honda,CR-V,"$30,032","89,000 km",Go Honda,2023-11-29,https://www.goauto.ca/vehicles/zDYZ4D4w57
goauto,Kia,Soul,"$23,995","89,200 km",Porsche Centre Winnipeg,2023-11-29,https://www.goauto.ca/vehicles/zCBshaFFLB
goauto,,,"$47,500","110,000 km",Go Auto Outlet Yellowhead,2023-11-29,https://www.goauto.ca/vehicles/zC2tRCSJgg
goauto,Ford,Edge,"$50,999","13,800 km",Dams Ford Lincoln,2023-11-29,https://www.goauto.ca/vehicles/zBmafUwNFq
goauto,Ford,Escape,"$37,747","48,100 km",Kentwood Ford,2023-11-29,https://www.goauto.ca/vehicles/zBMJzFGsps
goauto,,,"$39,491","59,600 km",Southtown Chrysler,2023-11-29,https://www.goauto.ca/vehicles/zB3fmUzFyZ
goauto,,,Call for price,"13,600 km",Go Dodge Surrey,2023-11-29,https://www.goauto.ca/vehicles/z9tMdpwig8
goauto,Mitsubishi,Eclipse Cross,"$33,897","10,300 km",Go Langley Mitsubishi,2023-11-29,https://www.goauto.ca/vehicles/z8LzC7foUn
goauto,Volvo,XC90,"$35,907","97,000 km",Bavaria BMW,2023-11-29,https://www.goauto.ca/vehicles/z8LWLS9GEd
goauto,,,"$35,800","75,500 km",Go North Surrey GM,2023-11-29,https://www.goauto.ca/vehicles/z8D535muGp
goauto,,,"$24,999","103,000 km",T&T Honda,2023-11-29,https://www.goauto.ca/vehicles/z8Ce4PJLss
goauto,,,"$86,895","112,000 km",MGM Ford Lincoln Sales Ltd.,2023-11-29,https://www.goauto.ca/vehicles/z6rk4aCfLB
goauto,Ford,Focus,"$17,997","67,600 km",Kentwood Ford,2023-11-29,https://www.goauto.ca/vehicles/z6jVeEaYtR
goauto,Rivian,R1T,"$128,281","4,090 km",Audi Richmond,2023-11-29,https://www.goauto.ca/vehicles/z6BJzbdecy
goauto,Dodge,Journey,"$20,497","118,000 km",Spruce Grove Hyundai,2023-11-29,https://www.goauto.ca/vehicles/z5VsnMGcAt
goauto,Volkswagen,Atlas,"$53,588","8,410 km",Jaguar Land Rover Richmond,2023-11-29,https://www.goauto.ca/vehicles/z4ryp9HTVC
goauto,,,"$51,995","6,800 km",Jaguar Land Rover Richmond,2023-11-29,https://www.goauto.ca/vehicles/z4hJ4zMHP5
goauto,Ford,Explorer,"$51,418","29,500 km",Go Auto Outlet South,2023-11-29,https://www.goauto.ca/vehicles/z4K3xV8TQ2
goauto,,,"$82,995",204 km,Jaguar Land Rover Richmond,2023-11-29,https://www.goauto.ca/vehicles/z4FZSs4bPF
goauto,Chevrolet,Suburban,"$29,997","235,000 km",Kentwood Ford,2023-11-29,https://www.goauto.ca/vehicles/z3n4vcmmVK
goauto,Land Rover,Range Rover Sport,"$38,998","156,000 km",Jaguar Land Rover Calgary,2023-11-29,https://www.goauto.ca/vehicles/z3jjPY2UGm
goauto,Jaguar,F-PACE,"$43,995","51,900 km",Jaguar Land Rover Richmond,2023-11-29,https://www.goauto.ca/vehicles/z3afA479at
goauto,,,"$27,929","80,100 km",Grove Nissan,2023-11-29,https://www.goauto.ca/vehicles/z3AHpC8EPC
goauto,,,"$25,907","86,500 km",Norden Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/z2qsL8FJgF
goauto,BMW,X3,"$32,907","72,400 km",Bavaria BMW,2023-11-29,https://www.goauto.ca/vehicles/z2AjBDAFcD
goauto,Volkswagen,Atlas,"$33,833","76,900 km",Go Autohaus Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/yzdQpwNd73
goauto,Toyota,Sienna,"$41,997","38,500 km",Honda Red Deer,2023-11-29,https://www.goauto.ca/vehicles/yzKabrMHPQ
goauto,Jeep,Wrangler,"$63,987","29,700 km",Go Dodge Red Deer,2023-11-29,https://www.goauto.ca/vehicles/yyzSoWJhu4
goauto,Audi,Q5,"$25,388","65,100 km",Go Langley Subaru,2023-11-29,https://www.goauto.ca/vehicles/yysMoaqJL3
goauto,Porsche,Panamera,"$102,995","27,200 km",Porsche Centre Winnipeg,2023-11-29,https://www.goauto.ca/vehicles/yydPpQ5Yo8
goauto,Nissan,Murano,Call for price,"40,800 km",Norden Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/yyXeZmQuTt
goauto,Porsche,911,"$449,995",90 km,Porsche Centre Winnipeg,2023-11-29,https://www.goauto.ca/vehicles/yyBpXrwDaQ
goauto,Jeep,Gladiator,"$64,499","20,400 km",Dams Ford Lincoln,2023-11-29,https://www.goauto.ca/vehicles/yx9z3Pcbmi
goauto,Lexus,IS,"$39,987","69,400 km",Go Auto Outlet Yellowhead,2023-11-29,https://www.goauto.ca/vehicles/yw6geNsHFb
goauto,Hyundai,Kona,"$31,997","10,700 km",Southtown Hyundai,2023-11-29,https://www.goauto.ca/vehicles/yw5Qi5woyC
goauto,BMW,M4,"$59,888","44,500 km",Go Richmond Chrysler,2023-11-29,https://www.goauto.ca/vehicles/yv5DwRKu2D
goauto,Toyota,Camry,"$35,900","55,800 km",Go Infiniti South,2023-11-29,https://www.goauto.ca/vehicles/yugaBqzJJb
goauto,Toyota,RAV4,"$49,126","19,800 km",Go Auto Kelowna,2023-11-29,https://www.goauto.ca/vehicles/yu9X7Zz75L
goauto,Acura,MDX,"$34,900","114,000 km",Go Infiniti South,2023-11-29,https://www.goauto.ca/vehicles/ytxyWbASKy
goauto,Chevrolet,Cruze,"$18,609","177,000 km",Go Autohaus Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/ysGABUPb5U
goauto,Bentley,Flying Spur,"$149,995","28,200 km",Jaguar Land Rover Richmond,2023-11-29,https://www.goauto.ca/vehicles/yrpesrPHa8
goauto,Volkswagen,Golf Alltrack,"$29,998","72,500 km",Jaguar Land Rover Calgary,2023-11-29,https://www.goauto.ca/vehicles/yrmxiyyYsY
goauto,Audi,Q8,"$57,275","48,200 km",Audi Richmond,2023-11-29,https://www.goauto.ca/vehicles/yqah7JSm8C
goauto,Land Rover,Range Rover Velar,Call for price,"59,400 km",Jaguar Land Rover Edmonton,2023-11-29,https://www.goauto.ca/vehicles/ypGB9MGz7r
goauto,Land Rover,Range Rover,"$204,995","12,100 km",Jaguar Land Rover Richmond,2023-11-29,https://www.goauto.ca/vehicles/ynhzr5K24z
goauto,Porsche,Panamera,"$94,597","31,900 km",Volkswagen of Richmond,2023-11-29,https://www.goauto.ca/vehicles/ynVqDhm9Yt
goauto,,,"$39,998","37,600 km",Columbia Chrysler,2023-11-29,https://www.goauto.ca/vehicles/ymHu7zEo4N
goauto,Ford,Bronco Sport,"$39,265","22,600 km",Go Auto Kelowna,2023-11-29,https://www.goauto.ca/vehicles/ykaAz5qrEr
goauto,Hyundai,Santa Fe Sport,"$25,497","67,700 km",Toyota on the Trail,2023-11-29,https://www.goauto.ca/vehicles/ykBoPjtwDK
goauto,Volkswagen,Golf Alltrack,"$24,997","82,500 km",Langley Toyota,2023-11-29,https://www.goauto.ca/vehicles/yk2aFMKFoN
goauto,Ford,Flex,"$25,888","49,400 km",Airdrie Honda,2023-11-29,https://www.goauto.ca/vehicles/yjYwXggwGQ
goauto,Hyundai,Palisade,"$44,401","85,900 km",Drayton Valley Toyota,2023-11-29,https://www.goauto.ca/vehicles/yjSNRqFCwf
goauto,Hyundai,Santa Fe Sport,Call for price,"230,000 km",Southtown Hyundai,2023-11-29,https://www.goauto.ca/vehicles/yi9SQMvjsG
goauto,Toyota,Corolla,"$28,477","31,400 km",Toyota on the Trail,2023-11-29,https://www.goauto.ca/vehicles/yh3rPV3Wpb
goauto,Land Rover,Discovery,"$53,998","61,900 km",Jaguar Land Rover Calgary,2023-11-29,https://www.goauto.ca/vehicles/ygWW4Ugcba
goauto,,,"$29,997","73,000 km",Honda Red Deer,2023-11-29,https://www.goauto.ca/vehicles/yf9aumtG5s
goauto,,,"$59,900","70,800 km",Aurora Dodge,2023-11-29,https://www.goauto.ca/vehicles/yd6wPcovmK
goauto,,,"$57,997",421 km,Langley Toyota,2023-11-29,https://www.goauto.ca/vehicles/ycmQWeDJ3b
goauto,BMW,X5,"$55,626","88,800 km",Go Auto Sherwood Park,2023-11-29,https://www.goauto.ca/vehicles/ycR8ZyJqCM
goauto,Toyota,RAV4,"$58,900","20,900 km",Aurora Dodge,2023-11-29,https://www.goauto.ca/vehicles/ybrEKjU4bC
goauto,,,"$24,987","136,000 km",Go Auto Outlet Yellowhead,2023-11-29,https://www.goauto.ca/vehicles/ybefAasKZ9
goauto,,,"$27,715","113,000 km",Go Mazda,2023-11-29,https://www.goauto.ca/vehicles/ybPFiHH39R
goauto,Ford,Edge,"$38,511","65,000 km",Southtown Chrysler,2023-11-29,https://www.goauto.ca/vehicles/yZk8zDdLbf
goauto,Chevrolet,Equinox,"$31,997","21,600 km",Toyota on the Trail,2023-11-29,https://www.goauto.ca/vehicles/yZChmH6zhx
goauto,Honda,CR-V,"$38,997","50,100 km",Honda Red Deer,2023-11-29,https://www.goauto.ca/vehicles/yZ5GgFnFaK
goauto,,,"$29,995","29,300 km",T&T Honda,2023-11-29,https://www.goauto.ca/vehicles/yYB7jXwevk
goauto,,,"$49,999","74,300 km",Peace River Chrysler,2023-11-29,https://www.goauto.ca/vehicles/yWfPpr5JTx
goauto,,,"$33,907","21,300 km",Bavaria BMW,2023-11-29,https://www.goauto.ca/vehicles/yWUARRSGWP
goauto,Toyota,Corolla,"$24,995","83,900 km",Porsche Centre Winnipeg,2023-11-29,https://www.goauto.ca/vehicles/yVZrqP7wMy
goauto,Ford,Expedition,"$56,477","92,200 km",Northstar Hyundai,2023-11-29,https://www.goauto.ca/vehicles/yUxaprvNvQ
goauto,Porsche,Cayenne,"$83,995","40,800 km",Porsche Centre Edmonton,2023-11-29,https://www.goauto.ca/vehicles/yUe2VJjhQX
goauto,Audi,Q3,"$46,946","8,640 km",Audi Richmond,2023-11-29,https://www.goauto.ca/vehicles/yU7iApSXxF
goauto,,,"$69,388","28,300 km",Go Richmond Chrysler,2023-11-29,https://www.goauto.ca/vehicles/yTbLapQCag
goauto,,,"$26,997","168,000 km",Toyota on the Trail,2023-11-29,https://www.goauto.ca/vehicles/ySkhefDEuD
goauto,,,"$46,777","103,000 km",Go Langley Mitsubishi,2023-11-29,https://www.goauto.ca/vehicles/yRmjxqckUS
goauto,,,"$14,908","74,500 km",Go Autohaus Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/yRaHiymxMY
goauto,Toyota,RAV4,"$44,997","13,700 km",Langley Toyota,2023-11-29,https://www.goauto.ca/vehicles/yRJsjD3VE5
goauto,Genesis,GV70,"$64,897","39,700 km",Genesis South Edmonton,2023-11-29,https://www.goauto.ca/vehicles/yQHrvhKNTQ
goauto,BMW,7 Series,"$42,900","105,000 km",Bavaria BMW,2023-11-29,https://www.goauto.ca/vehicles/yQ9LWPsiQZ
goauto,BMW,7 Series,"$48,495","47,200 km",Jaguar Land Rover Richmond,2023-11-29,https://www.goauto.ca/vehicles/yQ7RoRoeBA
goauto,Land Rover,Range Rover,"$94,995","57,500 km",Jaguar Land Rover Richmond,2023-11-29,https://www.goauto.ca/vehicles/yPDpKecyqW
goauto,,,"$49,900","73,400 km",Aurora Dodge,2023-11-29,https://www.goauto.ca/vehicles/yN8WbmLc4F
goauto,BMW,5 Series,"$22,900","115,000 km",Go Nissan South,2023-11-29,https://www.goauto.ca/vehicles/yMmu7ztACq
goauto,Audi,A4 allroad,"$29,992","67,400 km",Audi Richmond,2023-11-29,https://www.goauto.ca/vehicles/yMh26GqHwm
goauto,,,Call for price,"70,800 km",Go Dodge Surrey,2023-11-29,https://www.goauto.ca/vehicles/yM8bgs7ip7
goauto,,,"$30,987","129,000 km",Go Autohaus Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/yK6xfeS2WP
goauto,,,"$35,999","108,000 km",Peace River Chrysler,2023-11-29,https://www.goauto.ca/vehicles/yK3V8A3xNd
goauto,Land Rover,Range Rover Evoque,"$43,995","22,400 km",Jaguar Land Rover Richmond,2023-11-29,https://www.goauto.ca/vehicles/yHW6793e8V
goauto,Ford,Bronco Sport,"$35,129","49,800 km",Grove Nissan,2023-11-29,https://www.goauto.ca/vehicles/yGGsTwHXce
goauto,Ford,Mustang,Call for price,"18,800 km",Dams Ford Lincoln,2023-11-29,https://www.goauto.ca/vehicles/yFkCUSPJ9R
goauto,,,"$34,997","173,000 km",Southtown Chrysler,2023-11-29,https://www.goauto.ca/vehicles/yDXcqtR2wX
goauto,,,"$72,487","144,000 km",Team Ford,2023-11-29,https://www.goauto.ca/vehicles/yCPUm2iKQh
goauto,Acura,RDX,"$25,497","99,300 km",Go Terrace Ford Lincoln,2023-11-29,https://www.goauto.ca/vehicles/yBukmfDABf
goauto,Kia,Forte,"$24,987","45,700 km",Go Auto Outlet Yellowhead,2023-11-29,https://www.goauto.ca/vehicles/yBmE2pox3M
goauto,,,"$84,999","34,800 km",Peace River Ford,2023-11-29,https://www.goauto.ca/vehicles/y9P86hb2Lr
goauto,Chevrolet,Cruze,"$21,882","57,600 km",Go Autohaus Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/y9FHKQvxwY
goauto,,,"$44,277","1,560 km",Go Langley Mitsubishi,2023-11-29,https://www.goauto.ca/vehicles/y85Arx6GSr
goauto,Honda,CR-V,"$33,500","125,000 km",Go Auto Outlet Yellowhead,2023-11-29,https://www.goauto.ca/vehicles/y5vjVBkKxr
goauto,Toyota,Corolla,"$26,994","82,700 km",Go Autohaus Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/y5pS7QcFdj
goauto,,,"$74,974","2,500 km",Audi Richmond,2023-11-29,https://www.goauto.ca/vehicles/y5dgDG69gM
goauto,,,"$30,987","55,400 km",Go Dodge Surrey,2023-11-29,https://www.goauto.ca/vehicles/y5B89S3qxD
goauto,GMC,Yukon,"$62,995","75,200 km",Porsche Centre Edmonton,2023-11-29,https://www.goauto.ca/vehicles/y58X39jb5X
goauto,Chrysler,Pacifica,"$50,999","33,800 km",Go Dodge Surrey,2023-11-29,https://www.goauto.ca/vehicles/y4u5QuRU3K
goauto,Toyota,Corolla Cross,"$39,999",100 km,Go Dodge Surrey,2023-11-29,https://www.goauto.ca/vehicles/y3kasQzyRg
goauto,Volkswagen,Golf,"$28,888","72,000 km",Norden Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/y3QPEUNY6n
goauto,Ford,Escape,"$25,999","88,300 km",Go Kia South,2023-11-29,https://www.goauto.ca/vehicles/y3F6f6FL46
goauto,Toyota,RAV4 Prime,"$62,997",382 km,Langley Toyota,2023-11-29,https://www.goauto.ca/vehicles/y38RdyXV3D
goauto,Hyundai,Santa Fe,"$44,999","46,100 km",Northstar Hyundai,2023-11-29,https://www.goauto.ca/vehicles/xyiXUrCQt9
goauto,Kia,Seltos,"$35,199","37,300 km",Go Kia South,2023-11-29,https://www.goauto.ca/vehicles/xybB8GUtA5
goauto,Mercedes-Benz,CLA-Class,Call for price,"81,800 km",Dams Ford Lincoln,2023-11-29,https://www.goauto.ca/vehicles/xvf32toHGw
goauto,,,"$39,997","42,300 km",Go Terrace Ford Lincoln,2023-11-29,https://www.goauto.ca/vehicles/xvWUv8tkiF
goauto,Honda,CR-V,"$33,897","44,500 km",Go Langley Mitsubishi,2023-11-29,https://www.goauto.ca/vehicles/xvJjuBLZvz
goauto,Chevrolet,Spark,"$16,988","144,000 km",Northstar Hyundai,2023-11-29,https://www.goauto.ca/vehicles/xutsW3EpHf
